_line_no,arxiv_id,title,category,published_at,source_url,pdf_url,license_url_screen,license_status,local_pdf,decision,priority,reason,abstract,license_name,license_url_license,license_decision,final_decision
118,2609.12270v1,Recommendation Retrievers Need Verifiers: Universal Generative Reranking for Sequential Recommendations,voice_cloning,2026-09-10T22:56:09Z,http://arxiv.org/abs/2609.12270v1,https://arxiv.org/pdf/2609.12270v1,,REVIEW_REQUIRED,data\raw\pdfs\2609.12270v1.pdf,KEEP,C,음악/음성/작곡과 생성형 AI 또는 저작권·창작자성의 직접 연관성이 높음,"First-stage recommenders in multi-stage systems produce a ranked candidate list from which a limited prefix is forwarded to downstream rankers. Because each forwarded item must be processed by more expensive ranking stages, this shortlist cannot be arbitrarily large. The first-stage objective is therefore high coverage of relevant items within the forwarded prefix, commonly measured by Recall@$k$. A relevant item may be available deeper in the retrieved list but absent from the shorter prefix that is actually consumed. This paper studies post-hoc verification for promoting such candidates into the consumed shortlist without retraining or replacing the retriever. We introduce a lightweight generative verifier for retrieval models. Given a retriever state and a candidate item, the verifier scores the item through the likelihood of its identifier tokens. It is trained post hoc with next-token cross entropy, requires no sampled negatives or candidate pool during training, and scores only the retriever's top-$K$ candidates at inference. The interface is minimal: the retriever supplies a query state and candidate items, and the item representation can use any fixed tokenization. Across Amazon product recommendation and YaMBDa music recommendation, the same verifier training recipe improves Recall@10 for SASRec, GRU4Rec, NextItNet, and MiniOneRec. Ablations show that the improvements are not explained solely by injecting item-content features into the retriever, supporting verification as a post-hoc output-side adaptation mechanism.",CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,KEEP,FINAL_KEEP
120,2609.11904v1,TART: A Modular Tool for Technique-Aware Audio-to-Tablature Guitar Transcription,voice_cloning,2026-09-10T17:55:12Z,http://arxiv.org/abs/2609.11904v1,https://arxiv.org/pdf/2609.11904v1,,REVIEW_REQUIRED,data\raw\pdfs\2609.11904v1.pdf,KEEP,C,음악/음성/작곡과 생성형 AI 또는 저작권·창작자성의 직접 연관성이 높음,"Automatic Music Transcription (AMT) for guitar remains limited by three challenges: existing systems often fail to capture expressive techniques such as slides, bends, and percussive hits; they often assign notes to incorrect string-fret combinations; and they are typically trained on clean recordings, limiting their generalization to noisy real-world audio. To address these challenges, we propose TART, a modular four-stage audio-to-tablature pipeline consisting of (1) an audio-to-MIDI transcription model, (2) an expressive technique classifier, (3) an audio-conditioned T5 encoder-decoder for string-fret assignment, and (4) an automated tablature generator. We evaluate TART in a zero-shot setting on GuitarSet, EGDB, and two augmented benchmarks, Noisy GuitarSet and Noisy EGDB. Averaged across these four benchmarks, TART achieves 81.35% audio-to-MIDI F50 (+6.67 points over the best prior baseline), 71.8% string-fret Tab F1 (+8.5 points over the best prior baseline), and 54.08% end-to-end Tab F1. To our knowledge, TART is the first framework to generate guitar tablature with both fingering and expressive technique annotations directly from guitar audio.",CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,KEEP,FINAL_KEEP
121,2609.11505v1,Structural priors for data-efficient language learning,voice_cloning,2026-09-10T13:12:48Z,http://arxiv.org/abs/2609.11505v1,https://arxiv.org/pdf/2609.11505v1,,REVIEW_REQUIRED,data\raw\pdfs\2609.11505v1.pdf,KEEP,C,음악/음성/작곡과 생성형 AI 또는 저작권·창작자성의 직접 연관성이 높음,"Efficient language learning requires methods to reduce the reliance on large data and computational resources. We investigate structural transfer: First training models on non-language data to induce useful priors for natural language. This approach is a form of weight initialization for multilingual language modeling. We evaluate transfer via next-token-prediction loss, weight shifts in the model, and downstream linguistic benchmarks. Several symbolic data types - notably music, probabilistic grammars, and cellular automata - yield lower language-modeling loss than random initialization. These gains coincide with smaller weight shifts during subsequent language training, suggesting that structural transfer positions models in a more favorable region of the parameter space. However, a lower loss does not translate consistently into better downstream linguistic performance, and transfer from non-language data is less efficient than additional language data. We conclude that non-language data can serve as a partial substitute for language data for the training objective of next-token prediction but does not reliably support broader linguistic generalization.",CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,KEEP,FINAL_KEEP
122,2609.11403v1,From Queries to Narratives: Cultural Heritage Data Stories for Knowledge Graph Exploration and Quality Assessment,voice_cloning,2026-09-10T11:34:36Z,http://arxiv.org/abs/2609.11403v1,https://arxiv.org/pdf/2609.11403v1,,REVIEW_REQUIRED,data\raw\pdfs\2609.11403v1.pdf,KEEP,C,음악/음성/작곡과 생성형 AI 또는 저작권·창작자성의 직접 연관성이 높음,"Cultural-heritage KGs such as the NFDI4Culture-KG contain millions of triples about artworks, music, inscriptions, historical events, and the people and places connected to them. For many users, however, discovering this knowledge can be difficult. While SPARQL can be learned, writing meaningful queries first requires an in-depth understanding of the graph's data model, an investment many domain researchers and practitioners are unwilling to make. Even with existing user interfaces, a starting point and some guidance are usually needed, because the data contained in the graph is highly specialized, heterogeneous, and constantly growing, making it challenging to know what it contains or which questions it can answer. In this paper, we present data stories as a way not only to lower this barrier, but also to turn exploration into data-quality assessment, and thus combine accessible querying with the discovery of issues that remain hidden in aggregate statistics. In this contribution, a data story is understood as a narrative document that integrates explanatory text and images with executable SPARQL queries and their visualized results. It is described how they are authored against the graph and how they serve several purposes: guiding users through an unfamiliar graph, creating reproducible narratives, and surfacing data-quality issues previously hidden in aggregate statistics. The authoring platform LODEON including its Sparnatural and AI-supported authoring assistants is introduced as a proof-of-concept. Within the authoring environment, every claim made about the data can be backed by an explicit query, making these narratives transparent and reproducible. This paper also reflects on lessons learned from hands-on seminars and workshops. Early experience suggests that such data stories make cultural-heritage knowledge graphs more accessible for both exploration and quality assessment.",CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,KEEP,FINAL_KEEP
123,2609.11402v1,The Quantum Composition Paradox,voice_cloning,2026-09-10T11:34:01Z,http://arxiv.org/abs/2609.11402v1,https://arxiv.org/pdf/2609.11402v1,,REVIEW_REQUIRED,data\raw\pdfs\2609.11402v1.pdf,KEEP,A,음악/음성/작곡과 생성형 AI 또는 저작권·창작자성의 직접 연관성이 높음,"Quantum theory does not generally permit the probability laws obtained from individual unitary steps by the Born rule to be sewn into a consistent genealogy; we classify the exceptions and show that faithful composition can hold from an initial boundary yet fail after an internal restart. For finite-dimensional, composition-closed unitary families, universal composition holds exactly for unitary monomials, the phase-dressed permutations whose Born kernels realize reversible deterministic state machines. Prescribed sequences evade this obstruction. We classify all pairs of qubit unitary steps, give a necessary-and-sufficient criterion for pairs of qutrit unitary steps, and prove that a boundary-stable unitary sequence on a $d$-dimensional Hilbert space contains at most $d$ fully mixing steps, with equality in every prime dimension. We also construct arbitrarily long genuinely mixing sequences that compose from their initial boundary but fail after an internal restart, and a qutrit-controlled two-qubit realization with active interference. We define a Born--Chapman--Kolmogorov current that vanishes exactly when coherent and stepwise-checked endpoint laws agree, together with an associated measure of how many bits the endpoint reveals about the intermediate checking schedule. This state-machine connection provides a foundation for a quantum theory of music, in which unitary operations are notes and temporal boundaries are cues. Musical-transition prediction is proved PromiseBQP-complete, and the stepwise patterns that preserve a genealogy specify rules for rhythm, whereas the exceptional failure of that genealogy from an internal cue is the quantum music paradox.",CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,KEEP,FINAL_KEEP
125,2609.11137v2,The Machines Are Calling: Measuring Automated and Synthetic Voices in Unwanted Inbound Calls,voice_cloning,2026-09-10T06:28:50Z,http://arxiv.org/abs/2609.11137v2,https://arxiv.org/pdf/2609.11137v2,,REVIEW_REQUIRED,data\raw\pdfs\2609.11137v2.pdf,KEEP,A,음악/음성/작곡과 생성형 AI 또는 저작권·창작자성의 직접 연관성이 높음,"In February 2024 the U.S. Federal Communications Commission (FCC) placed AI-generated voices under the Telephone Consumer Protection Act (TCPA). Yet no peer-reviewed measurement says how much unwanted call traffic is placed by a machine, or how much of that machine speech is synthesized rather than played from a recording. We report both with a disclosed pipeline. An interactive voice honeypot (language-model personas on real U.S. numbers, the caller recorded on its own track) recorded 10,987 calls over 66 days. Three instruments read each opening: an audio fingerprint that finds the same recording played on other calls, a commercial synthetic-speech detector on the caller's first ten seconds, and blinded listeners who check what it flags. Of the 7,233 greeted calls we analyze, 13.8% open with a recording we also heard on another call, and 13.1% with fresh audio the detector labels synthetic. A further 9.9% open with a caller who never spoke after our greeting, 54.2% with fresh audio the detector labels human, and 9.0% could not be scored. Machine-voiced openings are therefore at least 26.9%, a further tenth of calls are silent connections we read as machine-placed, and replays of a recording make up 45% of the detector's own rate (29.3% of 6,192 scored openings). The same waveform played on two calls lands on opposite sides of the detector's threshold 13.6% of the time, and eleven listeners confirm 54.4% of what it flags. Synthetic openings concentrate in lead-generation spam (33.8%), not fraud (21.1%); 0.44% disclose automation. Prevalence tracks how long a bait number has circulated (59% against 19% in the same weeks): seeding history, not calendar time, explains the trend. Campaigns outlast their numbers: one recorded compliance notice opens calls in six campaigns, and one synthetic voice serves nine.",CC BY-NC-SA 4.0,http://creativecommons.org/licenses/by-nc-sa/4.0/,KEEP_NONCOMMERCIAL_ONLY,FINAL_KEEP_NONCOMMERCIAL
126,2609.17527v1,Agentic Societies Need a Social Harness,voice_cloning,2026-09-15T17:57:27Z,http://arxiv.org/abs/2609.17527v1,https://arxiv.org/pdf/2609.17527v1,,REVIEW_REQUIRED,data\raw\pdfs\2609.17527v1.pdf,KEEP,C,음악/음성/작곡과 생성형 AI 또는 저작권·창작자성의 직접 연관성이 높음,"An agentic society is a collection of AI agents that coordinate autonomously across trust boundaries, on behalf of different principals whose objectives may only partially align. We show experimentally that in agentic societies even honest, competent agents often fail to reach satisfactory outcomes with existing harnesses and messaging primitives, and that faulty or malicious agents can stall collaboration, influence outcomes, and pursue other harmful goals by exploiting vulnerabilities in communication (``speech''). We argue that agentic societies need a \emph{social harness} for inter-agent interactions, in addition to each agent's \emph{personal harness}, which manages its private context and communication with its principal. We propose a layered architecture for social harnesses which (i) prevents classes of failures outright, (ii) enables agents to detect invalid messages at runtime, and (iii) supports post-facto investigation and consequences, and highlight directions for future research to realize these capabilities.",CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,KEEP,FINAL_KEEP
132,2609.17391v1,FlashVector: Agent for Hierarchical Model Serving Stack Optimization,voice_cloning,2026-09-15T16:27:45Z,http://arxiv.org/abs/2609.17391v1,https://arxiv.org/pdf/2609.17391v1,,REVIEW_REQUIRED,data\raw\pdfs\2609.17391v1.pdf,KEEP,C,음악/음성/작곡과 생성형 AI 또는 저작권·창작자성의 직접 연관성이 높음,"Model serving is one of the largest cost drivers in production recommender systems. Maximizing its throughput requires navigating a deeply layered hierarchy: GPU kernels, the ML framework computation graph, the model server, and on-demand feature processing -- each demanding specialized domain expertise. Such cross-layer expertise is inherently difficult to acquire, and does not scale with a workload that continuously grows and evolves, leaving significant cost efficiency gains unrealized. While recent AI agents have demonstrated human expert level efficiency in standalone GPU kernel optimization, automated tuning and optimization for the rest of the serving stack remain largely unexplored. We present FlashVector, an agentic system that optimizes performance across all layers of the model serving stack. The key contribution is an extensible framework to generalize the single kernel optimization agent paradigm to heterogeneous technical stacks, and to deliver performance improvements holistically. After deployment in Unity's Vector advertising platform, FlashVector achieved up to 2x throughput increase and up to 1.98x latency speedup on model server, and up to 1.6x throughput increase on feature store. These optimizations were discovered not only at the GPU kernel and computation graph levels, but also across the other components of the model serving stack, such as the model server (NVIDIA Triton's C++ codebase) and the on-demand feature transformation service (Python codebase), demonstrating the extensibility of the framework to more complex system architectures.",CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,KEEP,FINAL_KEEP
134,2609.17320v1,Emergence World: Adversarial Stress-Testing of Long-Horizon Multi-Agent Systems,voice_cloning,2026-09-15T15:27:58Z,http://arxiv.org/abs/2609.17320v1,https://arxiv.org/pdf/2609.17320v1,,REVIEW_REQUIRED,data\raw\pdfs\2609.17320v1.pdf,KEEP,A,음악/음성/작곡과 생성형 AI 또는 저작권·창작자성의 직접 연관성이 높음,"As AI agents move from bounded tasks to persistent deployments, failures can propagate through memory, tools, other agents, and environmental state long after their interactions. This creates a safety regime that cannot be characterized by evaluating model responses in isolation. Emergence World, is a continuously running multi-agent environment for adversarial stress testing of long horizon autonomous systems. We ran eight parallel worlds of ten agents from identical starting conditions: seven homogeneous worlds powered by distinct frontier models and one mixed-model world. Across 16 days, the agents generated more than 850,000 LLM calls and nearly 50 billion tokens while pursuing goals, using/creating tools, maintaining persistent memory, and governing shared institutions. After operational state had accumulated, we delivered three controlled stress events through ordinary interaction surfaces: indirect prompt injection, misinformation, and exposure of private agent memories. No evaluated world achieved full resilience across all three events. Detection did not ensure containment: systems could recognize threats while still interacting with adversarial content, writing it into their own persistent memory, and acting on it up to 46 hours later. Persistent operation also exposed recurring tool errors, goal drift, language opacity, conformity despite private disagreement, and coordinated refusal of assigned work. The same model-persona pairing behaved substantially different in mixed and homogeneous populations. Our results suggest that model-level alignment is not compositional: individually capable and apparently safe agents can form systems with qualitatively different failure modes. As AI becomes persistent and interconnected, the frontier of safety therefore shifts from aligning models to engineering resilient autonomous systems.",CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,KEEP,FINAL_KEEP
135,2609.17317v1,Towards Detecting AI-Assisted Responses in Online Surveys,voice_cloning,2026-09-15T15:27:04Z,http://arxiv.org/abs/2609.17317v1,https://arxiv.org/pdf/2609.17317v1,,REVIEW_REQUIRED,data\raw\pdfs\2609.17317v1.pdf,KEEP,C,음악/음성/작곡과 생성형 AI 또는 저작권·창작자성의 직접 연관성이 높음,"The use of LLMs to complete online surveys impacts the validity of survey-based research, but detecting such usage remains underexplored. We introduce an initial benchmark dataset, namely ASURRE, for AI-assisted survey participation to capture usage strategies ranging from full generation and revision to persona-grounded agentic completion. Controlled by these strategies, LLM-assisted survey responses are generated using multiple LLMs on three real-world surveys in different disciplines, paired with genuine human responses. Our evaluation of existing machine-generated text (MGT) detectors shows that naive AI usage is readily detectable, whereas persona-grounded agents that mimic entire respondents push detector performance toward chance. We further show that agentic completion cannot fully replicate respondent-level behaviour and leaves distinctive behavioural traces. While individual cues can be circumvented by targeted prompting, a simple few-shot, training-free aggregator over these cues improves mean AUROC by +0.14 over the best existing detector across agentic settings. Our project is available at https://github.com/mike-qz-wang/ASURRE.",CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,KEEP,FINAL_KEEP
